Timestamp,1. What is your age group?,2. What is your highest level of education?,3. Which platform do you use most for online shopping?,4. How often do you shop online per month?,5. How often do you check online reviews before buying a product you have never tried before?,6. How much do you trust online reviews when buying a product?,7.  How strongly do negative reviews affect your purchase decision?,"8. How important is the number of reviews (e.g., 500 vs 5 reviews) when deciding whether to trust a product?","9.  How much do you trust reviews with a ""Verified Purchase"" badge?",10. Do you trust reviews more when they include photos or videos?,11. Do you compare reviews across multiple platforms before buying an expensive product?,"12. Would you pay more for a product with significantly better reviews (e.g., 4.8 vs 3.5 stars)?","13. In the last 6 months, have you returned a product because reviews were misleading?",14. How often do you ignore reviews when making a purchase decision?
18/05/2026 22:10:48,23-27,Undergraduate,Instagram / Facebook shops,1-2 times,Always,3,3,Moderately important,Trust them more than non-verified,Yes,Always,4,No,Never
18/05/2026 22:13:26,18-22,Undergraduate,Shein,1-2 times,Always,3,4,Slightly important,No difference,Doesn't matter,Sometimes,3,Yes,Usually
18/05/2026 22:18:45,23-27,Intermediate,Daraz,3-5 times,Always,5,5,Very important,Trust them completely,Yes,Usually,2,I have not returned a product in the last 6 months,Never
18/05/2026 22:31:18,23-27,Postgraduate,Instagram / Facebook shops,3-5 times,Always,5,2,Slightly important,No difference,Yes,Always,2,Yes,Usually
18/05/2026 22:31:30,23-27,Undergraduate,Instagram / Facebook shops,3-5 times,Usually,3,4,Slightly important,I don't notice the badge,Yes,Usually,3,I have not returned a product in the last 6 months,Sometimes
18/05/2026 22:31:30,28-35,Postgraduate,Other,Rarely,Always,5,2,Very important,I don't notice the badge,Yes,Never,4,No,Never
18/05/2026 23:14:00,18-22,Undergraduate,Instagram / Facebook shops,Rarely,Sometimes,3,4,Very important,I don't notice the badge,Yes,Sometimes,3,No,Never
18/05/2026 23:20:36,23-27,Postgraduate,Instagram / Facebook shops,Rarely,Always,3,4,Very important,No difference,Yes,Always,3,I have not returned a product in the last 6 months,Never
18/05/2026 23:45:23,18-22,Undergraduate,Daraz,1-2 times,Always,4,5,Not important at all,Trust them completely,Yes,Always,5,Yes,Always
18/05/2026 23:47:27,28-35,Postgraduate,Daraz,1-2 times,Always,4,4,Not important at all,Trust them completely,Yes,Usually,3,No,Sometimes
18/05/2026 23:54:57,18-22,Postgraduate,Other,3-5 times,Always,3,5,Moderately important,Trust them completely,Yes,Always,3,No,Usually
19/05/2026 01:15:51,18-22,Undergraduate,Daraz,1-2 times,Always,4,5,Moderately important,Trust them more than non-verified,Yes,Usually,5,I have not returned a product in the last 6 months,Rarely
19/05/2026 06:57:00,23-27,Undergraduate,Daraz,1-2 times,Always,3,5,Moderately important,Trust them completely,Yes,Usually,4,No,Rarely
19/05/2026 14:16:35,18-22,Undergraduate,Daraz,Rarely,Usually,5,3,Slightly important,Trust them more than non-verified,Yes,Always,3,I have not returned a product in the last 6 months,Usually
